,0
2022-01-01,57
2022-01-02,60
2022-01-03,58
2022-01-04,56
2022-01-05,54
2022-01-06,54
2022-01-07,54
2022-01-08,55
2022-01-09,55
2022-01-10,57
2022-01-11,56
2022-01-12,56
2022-01-13,55
2022-01-14,54
2022-01-15,55
2022-01-16,54
2022-01-17,54
2022-01-18,53
2022-01-19,54
2022-01-20,54
2022-01-21,55
2022-01-22,54
2022-01-23,55
2022-01-24,56
2022-01-25,56
2022-01-26,56
2022-01-27,57
2022-01-28,56
2022-01-29,56
2022-01-30,56
2022-01-31,57
2022-02-01,56
2022-02-02,57
2022-02-03,57
2022-02-04,58
2022-02-05,60
2022-02-06,58
2022-02-07,57
2022-02-08,56
2022-02-09,55
2022-02-10,55
2022-02-11,55
2022-02-12,54
2022-02-13,54
2022-02-14,56
2022-02-15,55
2022-02-16,56
2022-02-17,55
2022-02-18,54
2022-02-19,54
2022-02-20,55
2022-02-21,57
2022-02-22,57
2022-02-23,58
2022-02-27,58
2022-02-28,58
2022-03-01,60
2022-03-02,60
2022-03-03,59
2022-03-04,57
2022-03-05,56
2022-03-06,57
2022-03-07,56
2022-03-08,58
2022-03-09,58
2022-03-10,58
2022-03-11,58
2022-03-12,58
2022-03-14,58
2022-03-15,59
2022-03-19,58
2022-03-20,59
2022-03-21,60
2022-03-22,61
2022-03-24,59
2022-03-28,57
2022-03-29,56
2022-03-30,55
2022-03-31,55
2022-04-02,55
2022-04-03,57
2022-04-04,57
2022-04-05,59
2022-04-06,59
2022-04-07,58
2022-04-08,58
2022-04-09,58
2022-04-10,58
2022-04-11,57
2022-04-12,55
2022-04-13,55
2022-04-14,56
2022-04-15,55
2022-04-16,55
2022-04-18,56
2022-04-19,57
2022-04-22,59
2022-04-23,56
2022-04-25,57
2022-04-26,58
2022-04-27,55
2022-04-28,54
2022-04-30,55
2022-05-02,53
2022-05-03,52
2022-05-04,54
2022-05-05,54
2022-05-06,55
2022-05-07,56
2022-05-08,57
2022-05-09,56
2022-05-10,55
